slot,delivery_date,year,month,reiwa_year,cust_ref,product_code,product_name,qty,unit_price,price_mk128,price_mk168,total,master_sale,all_codes,sig_pos,mk_pos,qty_src,price_src
1011,2029-01,2029,1,11,3156,161,蔵内受入,4,72.0,72.0,72.0,288.0,0.0,161,183,195,code+47,MK+128
2001,2029-02,2029,2,11,19541,161,蔵内受入,4,65.6,65.6,65.6,262.0,0.0,161|101|100|100,21,33,code+47,MK+128
3004,2029-03,2029,3,11,7253,410,詰口,0,-79.92,-79.92,0.0,0.0,0.0,410,192,204,,MK+128
6449,2029-06,2029,6,11,3172,,,0,0.0,0.0,0.0,0.0,0.0,,373,385,,
7723,2029-07,2029,7,11,23652,150,移動払出,61,-887.0,-887.0,0.0,54107.0,0.0,150,239,251,MK+81,MK+128
8859,2029-08,2029,8,11,31832,,,0,0.0,0.0,0.0,0.0,0.0,,351,363,,
9886,2029-09,2029,9,11,3156,151,移動受入,117,154.0,154.0,508.0,18018.0,0.0,151|109|170|170,34,46,MK+81,MK+128
11123,2029-10,2029,10,11,27731,151,移動受入,61,163.0,163.0,787.0,9943.0,0.0,151|109|170,55,67,MK+81,MK+128
12236,2029-11,2029,11,11,3159,410,詰口,131,-472.02,-472.02,0.0,61835.0,0.0,410,208,220,MK+81,MK+128
13349,2029-12,2029,12,11,7256,,,0,0.0,0.0,0.0,0.0,0.0,,361,373,,
2005,2030-02,2030,2,12,3158,160,売場払出,131,-533.0,-533.0,0.0,69823.0,0.0,160,281,293,MK+81,MK+128
4021,2030-04,2030,4,12,3158,150,移動払出,0,-19.44,-19.44,110.16,0.0,0.0,150,249,261,,MK+128
5098,2030-05,2030,5,12,19553,400,割水,117,40.0,40.0,303.0,4680.0,0.0,400,110,122,MK+81,MK+128
7728,2030-07,2030,7,12,7269,151,移動受入,117,160.0,160.0,160.0,18720.0,0.0,151|107|160,52,64,MK+81,MK+128
9899,2030-09,2030,9,12,31828,,,0,0.0,0.0,0.0,0.0,0.0,,367,379,,
11127,2030-10,2030,10,12,11348,100,製成,0,0.0,0.0,0.0,0.0,0.0,100,315,327,,
12245,2030-11,2030,11,12,27735,151,移動受入,0,16.0,16.0,0.0,0.0,0.0,151,281,293,,MK+128
2010,2031-02,2031,2,13,27734,161,蔵内受入,117,491.0,491.0,491.0,57447.0,0.0,161,94,106,MK+81,MK+128
5107,2031-05,2031,5,13,7266,410,詰口,117,-298.98,-298.98,0.0,34981.0,0.0,410,183,195,MK+81,MK+128
6495,2031-06,2031,6,13,11365,410,詰口,61,-853.2,-853.2,0.0,52045.0,0.0,410,291,303,MK+81,MK+128
7732,2031-07,2031,7,13,3174,121,ろ過受入,0,0.0,0.0,0.0,0.0,0.0,121,312,324,,
8878,2031-08,2031,8,13,15449,150,移動払出,57,-1008.0,-1008.0,3342.0,57456.0,0.0,150|107|160,50,62,MK+81,MK+128
11141,2031-10,2031,10,13,40020,410,詰口,0,-36.0,-36.0,0.0,0.0,0.0,410,201,213,,MK+128
1020,2032-01,2032,1,14,27732,151,移動受入,1,17.7,17.7,17.7,18.0,0.0,151,256,268,code+47,MK+128
2014,2032-02,2032,2,14,11351,,,0,0.0,0.0,0.0,0.0,0.0,,354,366,,
3009,2032-03,2032,3,14,31829,151,移動受入,61,424.0,424.0,424.0,25864.0,0.0,151|109|170|170,5,17,MK+81,MK+128
4026,2032-04,2032,4,14,27734,400,割水,1,19.44,0.0,19.44,19.0,0.0,400|103|130,62,74,code+47,MK+168
7737,2032-07,2032,7,14,35942,161,蔵内受入,117,326.0,326.0,326.0,38142.0,0.0,161,125,137,MK+81,MK+128
12250,2032-11,2032,11,14,19544,220,蔵内戻,0,18.0,18.0,54.0,0.0,2250.0,220,94,106,,MK+128
3013,2033-03,2033,3,15,23638,161,蔵内受入,61,877.0,877.0,0.0,53497.0,0.0,161,265,277,MK+81,MK+128
6504,2033-06,2033,6,15,31845,,,0,0.0,0.0,0.0,0.0,0.0,,364,376,,
7741,2033-07,2033,7,15,19559,,,0,0.0,0.0,0.0,0.0,0.0,,385,397,,
9904,2033-09,2033,9,15,15445,400,割水,117,128.0,128.0,636.0,14976.0,0.0,400,180,192,MK+81,MK+128
12263,2033-11,2033,11,15,0,,,0,0.0,0.0,0.0,0.0,0.0,,427,439,,
13368,2033-12,2033,12,15,19545,150,移動払出,140,-169.0,-169.0,3839.0,23660.0,0.0,150|109|170,60,72,MK+81,MK+128
1025,2034-01,2034,1,16,15445,410,詰口,0,-18.0,-18.0,0.0,0.0,0.0,410|101,69,81,,MK+128
2028,2034-02,2034,2,16,40023,160,売場払出,0,-60.4,-60.4,0.0,0.0,0.0,160,240,252,,MK+128
3018,2034-03,2034,3,16,7255,400,割水,117,139.0,139.0,583.0,16263.0,0.0,400|109,78,90,MK+81,MK+128
4035,2034-04,2034,4,16,15447,400,割水,61,180.0,180.0,800.0,10980.0,0.0,400,135,147,MK+81,MK+128
5116,2034-05,2034,5,16,19555,200,未納税移入,117,128.0,128.0,128.0,14976.0,0.0,200,256,268,MK+81,MK+128
7751,2034-07,2034,7,16,7272,151,移動受入,117,224.0,224.0,224.0,26208.0,0.0,151|107|160|160,11,23,MK+81,MK+128
11146,2034-10,2034,10,16,27733,161,蔵内受入,2,36.0,36.0,36.0,72.0,0.0,161|101|100|100,14,26,code+47,MK+128
1029,2035-01,2035,1,17,3158,,,61,0.0,0.0,0.0,0.0,0.0,,329,341,MK+81,
3027,2035-03,2035,3,17,31831,151,移動受入,131,279.0,279.0,279.0,36549.0,0.0,151,151,163,MK+81,MK+128
5121,2035-05,2035,5,17,7268,161,蔵内受入,1,36.0,36.0,36.0,36.0,0.0,161|103,69,81,code+47,MK+128
8887,2035-08,2035,8,17,40025,150,移動払出,58,-483.0,-483.0,842.0,28014.0,0.0,150,123,135,MK+81,MK+128
9913,2035-09,2035,9,17,19543,160,売場払出,61,-1995.0,-1995.0,0.0,121695.0,0.0,160,253,265,MK+81,MK+128
11155,2035-10,2035,10,17,15446,150,移動払出,131,-375.0,-375.0,0.0,49125.0,0.0,150|103,87,99,MK+81,MK+128
4049,2036-04,2036,4,18,3160,150,移動払出,140,-132.6,-132.6,6695.4,18564.0,0.0,150|109|170|170,21,33,MK+81,MK+128
5130,2036-05,2036,5,18,40036,160,売場払出,0,-18.0,-18.0,0.0,0.0,0.0,160,142,154,,MK+128
9927,2036-09,2036,9,18,11352,160,売場払出,93,-479.0,-479.0,0.0,44547.0,0.0,160,139,151,MK+81,MK+128
12273,2036-11,2036,11,18,40025,161,蔵内受入,3,50.4,50.4,50.4,151.0,0.0,161|101|100,53,65,code+47,MK+128
13377,2036-12,2036,12,18,3168,120,ろ過払出,132,-502.0,-502.0,0.0,66264.0,0.0,120|100,133,145,MK+81,MK+128
1034,2037-01,2037,1,19,27734,121,ろ過受入,132,77.4,77.4,75.0,10217.0,0.0,121,142,154,MK+81,MK+128
2033,2037-02,2037,2,19,35928,150,移動払出,38,-417.0,-417.0,2707.0,15846.0,0.0,150|103|130,53,65,MK+81,MK+128
3031,2037-03,2037,3,19,19544,,,0,0.0,0.0,0.0,0.0,0.0,,411,423,,
7769,2037-07,2037,7,19,31848,151,移動受入,117,19.3,19.3,444.0,2258.0,0.0,151,157,169,MK+81,MK+128
8891,2037-08,2037,8,19,27744,,,0,0.0,0.0,0.0,0.0,0.0,,383,395,,
11159,2037-10,2037,10,19,40022,,,117,0.0,0.0,0.0,0.0,0.0,,347,359,MK+81,
3041,2038-03,2038,3,20,3161,400,割水,117,70.0,70.0,345.0,8190.0,0.0,400|107|160|160,37,49,MK+81,MK+128
5134,2038-05,2038,5,20,23653,,,0,0.0,0.0,0.0,0.0,0.0,,402,414,,
6523,2038-06,2038,6,20,19559,160,売場払出,0,-36.0,-36.0,0.0,0.0,0.0,160|109|170,63,75,,MK+128
8896,2038-08,2038,8,20,11361,161,蔵内受入,61,687.0,687.0,687.0,41907.0,0.0,161,196,208,MK+81,MK+128
11173,2038-10,2038,10,20,31831,410,詰口,117,-390.6,-390.6,0.0,45700.0,0.0,410,233,245,MK+81,MK+128
12277,2038-11,2038,11,20,31840,150,移動払出,58,0.0,0.0,0.0,0.0,0.0,150,313,325,MK+81,
13381,2038-12,2038,12,20,27744,,,0,0.0,0.0,0.0,0.0,0.0,,393,405,,
